country,human_development_index,year,cpi,unemployed_rate,gdp,gdp_per_capita,happiness_score,total_consumption
Thailand,0.797,2021,1.230395413,1.215,1100000000000.0,15362.891611280183,5.985,2873.876
Turkey,0.841,2021,19.59649269,11.969,2260000000000.0,26658.67441180584,4.948,4216.424
United States,0.921,2021,4.697858864,5.349,19100000000000.0,56676.956115822206,6.951,54639.668
Vietnam,0.718,2021,1.834715548,2.385,772000000000.0,7920.546332200189,5.411,2701.1630000000005
United Arab Emirates,0.937,2022,4.827888596,2.873,780000000000.0,82617.1590755267,6.576,2640.8610000000003
Australia,0.946,2022,6.594096713,3.701,1340000000000.0,51189.17417727728,7.162,3553.219
Bangladesh,0.67,2022,7.696954372,5.247,858000000000.0,5012.081335822254,5.155,1040.254
Brazil,0.76,2022,9.28010609,9.231,3190000000000.0,14815.605806127236,6.293,9286.941
Canada,0.935,2022,6.802801153,5.28,1760000000000.0,45768.58032729112,7.025,9157.811
China,0.788,2022,1.973575557,4.98,27000000000000.0,18935.5770711089,5.585,96131.094
Germany,0.95,2022,6.872574386,3.135,3910000000000.0,46899.45428706592,7.034,7555.063000000002
Egypt,0.728,2022,13.89566098,7.344,1460000000000.0,13154.326850929114,4.288,2275.94
Spain,0.911,2022,8.390576341,12.917,1630000000000.0,34273.48372846385,6.476,3528.058000000001
France,0.91,2022,5.222367484,7.308,2670000000000.0,41314.242254090204,6.687,4932.518000000001
United Kingdom,0.94,2022,7.922048831,3.73,2620000000000.0,38809.67698853971,6.943,4433.6630000000005
Indonesia,0.713,2022,4.209463834,3.462,3500000000000.0,12704.112252897032,5.24,5859.182
India,0.644,2022,6.699034141,4.822,10500000000000.0,7409.115973071801,3.777,21244.283000000003
Iran,0.78,2022,43.48846417,9.085,1570000000000.0,17729.98226279023,4.888,6975.397
Italy,0.906,2022,8.201289912,8.069,2140000000000.0,36248.16455555549,6.467,3720.476
Japan,0.92,2022,2.497702782,2.6,4770000000000.0,38482.73282198575,6.039,10590.643999999998
South Korea,0.929,2022,5.089513651,2.857,2140000000000.0,41300.13759507523,5.935,7247.729
Mexico,0.781,2022,7.896276192,3.256,2030000000000.0,15921.054158877376,6.128,4766.392999999999
Malaysia,0.807,2022,3.378698625,3.93,878000000000.0,25870.540749696447,5.711,2766.891
Nigeria,0.548,2022,18.84718778,3.827,1130000000000.0,5170.64936620468,4.552,0.0
Netherlands,0.946,2022,10.00120788,3.524,880000000000.0,50102.42529899192,7.415,2053.949
Pakistan,0.54,2022,19.87385996,5.548,1320000000000.0,5597.3741598341385,4.516,2104.742
Philippines,0.71,2022,5.821158112,2.598,1010000000000.0,8740.1234873875,5.904,1212.525
Poland,0.881,2022,14.42945076,2.886,1230000000000.0,30860.214168882747,6.123,2489.4980000000005
Russia,0.821,2022,4.221622316,3.867,3730000000000.0,25775.09939099452,5.459,17803.135000000002
Saudi Arabia,0.875,2022,2.474073719,5.589,1820000000000.0,49987.882058481206,6.523,0.0
Thailand,0.803,2022,6.077412284,0.94,1120000000000.0,15621.289943638383,5.891,2879.272
Turkey,0.855,2022,72.30883599,10.432,2390000000000.0,28005.21501630724,4.744,4308.736
United States,0.927,2022,8.002799821,3.65,19500000000000.0,57642.875345336986,6.977,56001.664
Vietnam,0.726,2022,3.1565075,1.535,834000000000.0,8494.00860742501,5.485,2830.226
