country,year,total_consumption,happiness_score,aqi_pm25_concentration,aqi_pm25_category,gdp_per_capita,gdp,unemployed_rate,cpi,human_development_index
Turkey,2020,3983.285,5.131800175,55.48355175327419,MODERATE,24127.76581452628,2030000000000.0,13.148,12.27895745,0.835
United Arab Emirates,2020,2391.6320000000005,6.790800095,0.0,GOOD,75264.18374539127,699000000000.0,4.294,-2.079403179,0.93
United Kingdom,2020,4335.418,7.164500237,25.759049255441006,GOOD,34745.27804215339,2330000000000.0,4.472,0.989486704,0.92
United States,2020,51835.538,6.939599991,37.469787379972566,GOOD,53580.675065068375,18000000000000.0,8.055,1.233584396,0.923
Vietnam,2020,2632.083,5.353499889,77.54570342205324,MODERATE,7791.104855234443,753000000000.0,2.103,3.220934367,0.726
France,2021,5540.744999999999,6.69,26.98728269085412,GOOD,40290.43327836065,2600000000000.0,7.874,1.64233141,0.906
Germany,2021,7765.004,7.155,32.8395393811533,GOOD,46038.44017928136,3840000000000.0,3.638,3.066666667,0.948
Indonesia,2021,4667.086,5.345,68.82506970849175,MODERATE,12127.712823241538,3320000000000.0,3.827,1.560129905,0.707
Italy,2021,3865.828,6.483,40.961620681083765,GOOD,34773.60425504676,2060000000000.0,9.497,1.873783258,0.899
Pakistan,2021,2279.16,4.934,0.0,GOOD,5531.496618319542,1280000000000.0,6.338,9.496210561,0.537
Saudi Arabia,2021,5961.646,6.494,19.48717948717949,GOOD,46731.05687069483,1680000000000.0,6.621,3.063289889,0.867
Spain,2021,3415.659,6.491,29.580747414080747,GOOD,32429.974629651795,1540000000000.0,14.781,3.09313512,0.904
Thailand,2021,2873.876,5.985,72.554127128451,MODERATE,15362.891611280183,1100000000000.0,1.215,1.230395413,0.797
United Arab Emirates,2021,2449.7810000000004,6.561,95.73346007604562,MODERATE,77521.45748028142,726000000000.0,3.105,-0.013859944,0.931
United States,2021,54639.668,6.951,38.54975994513032,GOOD,56676.956115822206,19100000000000.0,5.349,4.697858864,0.921
Italy,2022,3720.476,6.467,0.0,GOOD,36248.16455555549,2140000000000.0,8.069,8.201289912,0.906
Saudi Arabia,2022,0.0,6.523,61.863410353904655,MODERATE,49987.882058481206,1820000000000.0,5.589,2.474073719,0.875
