Country,CPI,Year,Unemployed Rate,GDP,GDP per Capita,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Mexico,4.899350154,2018,3.275,2.05E+12,16530.40986,124013864,2.441,157.545,2081.753,902.736,85.283,183.524,34.414,1021.472,19.989,149.111,8.497,32.9,6697.665,5.40E-05
Mexico,3.635961421,2019,3.477,2.05E+12,16388.8147,125085312,2.696,150.415,2058.36,933.893,62.215,183.054,28.304,974.052,19.481,154.75,26.266,44.092,6656.578,5.32E-05
Mexico,3.396834156,2020,4.441,1.88E+12,14920.83671,125998296,2.951,66.491,1827.884,922.448,70.429,214.033,28.17,838.945,19.149,185.863,41.589,51.745,6289.697,4.99E-05
Mexico,5.689208477,2021,4.019,1.97E+12,15547.9096,126705136,2.539,55.126,1928.164,916.388,90.844,247.73,29.938,956.65,16.42,217.792,52.844,55.146,6590.581,5.20E-05
Mexico,7.896276192,2022,3.256,2.03E+12,15921.05416,127504120,2.723,67.837,2025.715,909.47,92.707,247.369,27.144,1048.408,18.24,220.225,53.034,53.521,6788.393,5.32E-05
Netherlands,0.600248147,2015,6.873,7.61E+11,44656.71544,17041110,3.721,128.667,972.45,337.889,0.25,53.582,10.538,505.895,15.756,43.043,2.985,20.332,4110.108,0.000241188
Netherlands,0.316666667,2016,6.006,7.78E+11,45431.95158,17124512,2.975,119.278,988.767,351.611,0.268,55.247,10.173,517.878,15.67,45.074,4.288,21.873,4149.102,0.00024229
Netherlands,1.381458714,2017,4.839,8E+11,46492.15526,17207204,3.848,106.972,990.816,362.972,0.162,61.39,8.689,520.871,14.699,52.701,5.866,28.127,4174.113,0.000242579
Netherlands,1.703497947,2018,3.831,8.19E+11,47379.26704,17286042,6.467,96.083,958.935,355.889,0.191,67.835,8.923,506.963,14.535,58.911,9.81,27.908,4130.45,0.000238947
Netherlands,2.633699102,2019,3.38,8.35E+11,48090.04761,17363260,8.081,74.694,941.012,371.611,0.196,81.317,9.89,494.707,18.584,71.428,14.233,30.335,4135.088,0.000238152
Netherlands,1.272460378,2020,3.819,8.03E+11,46057.9394,17434562,9.257,47.778,879.629,360.944,0.121,110.517,10.301,470.906,28.215,100.216,22.499,40.124,4100.507,0.000235194
Netherlands,2.675720088,2021,4.21,8.42E+11,48109.6232,17501696,9.304,65.111,883.818,348.417,0.231,130.797,9.612,470.29,34.851,121.185,29.579,47.221,4171.416,0.000238344
Netherlands,10.00120788,2022,3.524,8.8E+11,50102.4253,17564020,11.878,64.333,801.226,275.361,0.13,153.965,10.398,461.531,31.238,143.567,44.527,55.795,4075.949,0.000232062
Nigeria,9.00943498,2015,4.137,1.04E+12,5652.30367,183995776,0,0,0,0,0,0,0,0,0,0,0,0,2015,1.10E-05
Nigeria,15.69681264,2016,4.498,1.03E+12,5459.356396,188666928,0,0,0,0,0,0,0,0,0,0,0,0,2016,1.07E-05
Nigeria,16.50226621,2017,4.826,1.04E+12,5374.790776,193495904,0,0,0,0,0,0,0,0,0,0,0,0,2017,1.04E-05
Nigeria,12.09510652,2018,5.065,1.06E+12,5343.075447,198387616,0,0,0,0,0,0,0,0,0,0,0,0,2018,1.02E-05
Nigeria,11.39642234,2019,5.206,1.08E+12,5312.228806,203304496,0,0,0,0,0,0,0,0,0,0,0,0,2019,9.93E-06
Nigeria,13.24602343,2020,5.712,1.06E+12,5088.144715,208327408,0,0,0,0,0,0,0,0,0,0,0,0,2020,9.70E-06
Nigeria,16.95284572,2021,5.393,1.1E+12,5154.607098,213401328,0,0,0,0,0,0,0,0,0,0,0,0,2021,9.47E-06
Nigeria,18.84718778,2022,3.827,1.13E+12,5170.649366,218541216,0,0,0,0,0,0,0,0,0,0,0,0,2022,9.25E-06
Pakistan,2.529328173,2015,3.566,1.01E+12,4787.426508,210969296,0,54.263,713.565,365.342,88.274,102.294,11.125,293.961,0.254,91.169,1.028,1.612,3737.887,1.77E-05
Pakistan,3.765119164,2016,2.286,1.06E+12,4964.29343,213524848,0,62.121,430.689,39.72,92.566,111.511,13.59,328.849,1.699,97.922,1.199,2.458,3198.324,1.50E-05
Pakistan,4.08537368,2017,3.193,1.12E+12,5176.08754,216379648,0,83.121,830.01,407.396,80.382,110.988,20.729,339.493,3.433,90.259,1.753,4.692,3989.256,1.84E-05
Pakistan,5.078057259,2018,4.083,1.17E+12,5324.680639,219731488,0,137.646,856.861,435.876,77.996,114.169,23.48,283.339,3.289,90.689,1.912,7.492,4050.749,1.84E-05
Pakistan,10.5783618,2019,4.83,1.17E+12,5239.745683,223293280,0,156.562,851.917,444.73,95.254,130.599,23.227,250.625,1.973,107.372,1.846,8.299,4091.404,1.83E-05
