Country,CPI,Year,Unemployed Rate,GDP,GDP per Capita,Population,total_consumption,Energy Consumption Per Capita,Happiness Score
Poland,-0.664767331,2016,6.161,9.64E+11,25018.0966,38532108,4386.901,0.000113851,5.835
Poland,2.075935537,2017,4.888,1.01E+12,26211.42457,38532816,4508.236,0.000116997,5.97300005
Poland,1.812951565,2018,3.846,1.07E+12,27776.72209,38521464,4533.525,0.000117688,6.123
Poland,2.227478809,2019,3.277,1.12E+12,29095.74579,38493600,4476.353,0.000116288,6.182
Poland,3.374469726,2020,3.162,1.1E+12,28624.68685,38428368,4389.174,0.000114217,6.186299801
Poland,5.055027047,2021,3.363,1.17E+12,30542.14341,38307724,4567.277,0.000119226,6.166
Poland,14.42945076,2022,2.886,1.23E+12,30860.21417,39857144,4511.498,0.000113192,6.123
Russia,15.53440505,2015,5.571,3.46E+12,23916.76678,144668384,18331.077,0.000126711,5.716
Russia,7.04244763,2016,5.559,3.46E+12,23844.11977,145109152,18685.551,0.000128769,5.856
Russia,3.683329444,2017,5.212,3.53E+12,24269.08394,145452544,18785.223,0.00012915,5.962999821
Russia,2.878297236,2018,4.846,3.63E+12,24922.36854,145652288,19391.531,0.000133136,5.81
Russia,4.470366608,2019,4.496,3.71E+12,25455.89239,145742288,19277.856,0.000132274,5.648
Russia,3.381659372,2020,5.589,3.61E+12,24791.00564,145617328,18747.946,0.000128748,5.546000004
Russia,6.69445892,2021,4.715,3.81E+12,26257.25527,145102752,19271.01,0.000132809,5.477
Russia,4.221622316,2022,3.867,3.73E+12,25775.09939,144713312,19825.135,0.000136996,5.459
Saudi Arabia,1.206073222,2015,5.6,1.59E+12,48549.85848,32749838,8128.127,0.000248188,6.411
Saudi Arabia,2.068840361,2016,5.6,1.63E+12,48778.63096,33416272,8375.565,0.000250643,6.379
Saudi Arabia,-0.83819458,2017,5.89,1.63E+12,47670.40855,34193120,8380.453,0.000245092,6.343999863
Saudi Arabia,2.45814158,2018,6.029,1.67E+12,47689.57979,35018132,8220.92,0.000234762,6.371
Saudi Arabia,-2.093333333,2019,5.636,1.69E+12,47170.64867,35827364,7953.199,0.000221987,6.375
